"","Genus","FuncGroup","IDS","name","auth","rank"
"1","Akashiwo","Dinoflagellata",109832,"Gymnodinium splendens","Lebour, 1925","Species"
"2","Akashiwo","Dinoflagellata",162544,"Gymnodinium sanguineum","K.Hirasaka, 1922","Species"
"3","Akashiwo","Dinoflagellata",232546,"Akashiwo sanguinea","(K.Hirasaka) Gert Hansen & Moestrup, 2000","Species"
"4","Alexandrium","Dinoflagellata",109470,"Alexandrium","Halim, 1960","Genus"
"5","Alexandrium","Dinoflagellata",109714,"Alexandrium tamarense","(Lebour) Balech, 1995","Species"
"6","Alexandrium","Dinoflagellata",231875,"Alexandrium monilatum","(J.F.Howell) Balech, 1995","Species"
"7","Alexandrium","Dinoflagellata",233420,"Alexandrium cohorticula","(Balech) Balech, 1985","Species"
"8","Amphidinium","Dinoflagellata",109473,"Amphidinium","Claperède & Lachmann, 1859","Genus"
"9","Amphidinium","Dinoflagellata",109735,"Amphidinium klebsii","Kofoid & Swezy, 1921","Species"
"10","Amphidinium","Dinoflagellata",232633,"Amphidinium turbo","Kofoid & Swezy, 1921","Species"
"11","Amphidinium","Dinoflagellata",650636,"Amphidinium schroederi","J.Schiller, 1928","Species"
"12","Amphora","Bacillariophyceae",149200,"Amphora","C.G. Ehrenberg ex F.T. Kützing, 1844","Genus"
"13","Amphora","Bacillariophyceae",149530,"Amphora laevis","Gregory, 1857","Species"
"14","Amphora","Bacillariophyceae",418236,"Amphora clevei","Grunow, 1875","Species"
"15","Amphora","Bacillariophyceae",961376,"Amphora lineata","A. Schmidt in Schmidt et al., 1875","Species"
"16","Anabaena","Cyanobacteria",146585,"Anabaena","Bory de Saint-Vincent ex Bornet & Flahault, 1886","Genus"
"17","Asterionella","Bacillariophyceae",149220,"Asterionella japonica","Cleve, 1882","Species"
"18","Asterionellopsis","Bacillariophyceae",149138,"Asterionellopsis","F.E. Round in F.E. Round, R.M. Crawford & D.G. Mann, 1990","Genus"
"19","Asterionellopsis","Bacillariophyceae",149139,"Asterionellopsis glacialis","(Castracane) Round, 1990","Species"
"20","Asterionellopsis","Bacillariophyceae",149618,"Asterionellopsis kariana","(Grunow) Round, 1990","Species"
"21","Bacteriastrum","Bacillariophyceae",149118,"Bacteriastrum","G. Shadbolt, 1854","Genus"
"22","Bacteriastrum","Bacillariophyceae",149119,"Bacteriastrum hyalinum","Lauder, 1864","Species"
"23","Bacteriastrum","Bacillariophyceae",162916,"Bacteriastrum elongatum","Cleve, 1897","Species"
"24","Bacteriastrum","Bacillariophyceae",164108,"Bacteriastrum delicatulum","Cleve, 1897","Species"
"25","Bacteriastrum","Bacillariophyceae",248066,"Bacteriastrum comosum","J.Pavillard, 1916","Species"
"26","Bellerochea","Bacillariophyceae",149305,"Bellerochea","H. Van Heurck, 1885","Genus"
"27","Bellerochea","Bacillariophyceae",149306,"Bellerochea malleus","(Brightwell) Van Heurck, 1885","Species"
"28","Blepharocysta","Dinoflagellata",110179,"Blepharocysta splendor-maris","(Ehrenberg) F.Stein, 1883","Species"
"29","Calcidiscus","Haptophyta",235804,"Calcidiscus","Kamptner, 1950","Genus"
"30","Calcidiscus","Haptophyta",235880,"Syracolithus quadriperforatus","(Kamptner) Gaarder, 1980","Species"
"31","Calcidiscus","Haptophyta",235923,"Calcidiscus leptoporus","(G.Murray & V.H.Blackman) Loeblich & Tappan, 1978","Species"
"32","Calciopappus","Haptophyta",235924,"Calciopappus caudatus","K.R.Gaarder & Ramsfjell, 1954","Species"
"33","Calciosolenia","Haptophyta",235921,"Anoplosolenia brasiliensis","(Lohmann) Deflandre, 1952","Species"
"34","Calciosolenia","Haptophyta",235926,"Calciosolenia murrayi","Gran, 1912","Species"
"35","Calyptrosphaera","Haptophyta",235828,"Calyptrosphaera","Lohmann, 1902","Genus"
"36","Cerataulina","Bacillariophyceae",149237,"Cerataulina bergonii","(H.Peragallo) Schütt, 1896","Species"
"37","Cerataulina","Bacillariophyceae",149619,"Cerataulina pelagica","(Cleve) Hendey, 1937","Species"
"38","Chaetoceros","Bacillariophyceae",148985,"Chaetoceros","C.G. Ehrenberg, 1844","Genus"
"39","Chaetoceros","Bacillariophyceae",149120,"Chaetoceros danicus","Cleve, 1889","Species"
"40","Chaetoceros","Bacillariophyceae",149122,"Chaetoceros didymus","Ehrenberg, 1845","Species"
"41","Chaetoceros","Bacillariophyceae",149123,"Chaetoceros socialis","H.S.Lauder, 1864","Species"
"42","Chaetoceros","Bacillariophyceae",149125,"Chaetoceros teres","Cleve, 1896","Species"
"43","Chaetoceros","Bacillariophyceae",149126,"Chaetoceros decipiens","Cleve, 1873","Species"
"44","Chaetoceros","Bacillariophyceae",149128,"Chaetoceros diadema","(Ehrenberg) Gran, 1897","Species"
"45","Chaetoceros","Bacillariophyceae",149129,"Chaetoceros compressus","Lauder, 1864","Species"
"46","Chaetoceros","Bacillariophyceae",149219,"Chaetoceros debilis","Cleve, 1894 emend Xu, Y.Li & Lundholm in Xu et al., 2020","Species"
"47","Chaetoceros","Bacillariophyceae",149221,"Chaetoceros curvisetus","Cleve, 1889","Species"
"48","Chaetoceros","Bacillariophyceae",149228,"Chaetoceros laciniosus","F.Schütt, 1895","Species"
"49","Chaetoceros","Bacillariophyceae",149238,"Chaetoceros pelagicus","Cleve","Species"
"50","Chaetoceros","Bacillariophyceae",149241,"Chaetoceros affinis","Lauder, 1864","Species"
"51","Chaetoceros","Bacillariophyceae",149288,"Chaetoceros atlanticus","Cleve, 1873","Species"
"52","Chaetoceros","Bacillariophyceae",149289,"Chaetoceros costatus","Pavillard, 1911","Species"
"53","Chaetoceros","Bacillariophyceae",149292,"Chaetoceros anastomosans","Grunow, 1882","Species"
"54","Chaetoceros","Bacillariophyceae",156607,"Chaetoceros concavicornis","Mangin, 1917","Species"
"55","Chaetoceros","Bacillariophyceae",156609,"Chaetoceros constrictus","Gran, 1897","Species"
"56","Chaetoceros","Bacillariophyceae",156611,"Chaetoceros convolutus","Castracane, 1886","Species"
"57","Chaetoceros","Bacillariophyceae",156615,"Chaetoceros karianus","Grunow, 1880","Species"
"58","Chaetoceros","Bacillariophyceae",156617,"Chaetoceros lorenzianus","Grunow, 1863","Species"
"59","Chaetoceros","Bacillariophyceae",156621,"Chaetoceros subtilis","Cleve, 1896","Species"
