V1,V2,V3
-67,12,-1391.80749511719
-66.9832535885167,12,-1186.12744140625
-66.9665071770335,12,-893.997497558594
-66.9497607655502,12,-496.747497558594
-66.933014354067,12,-322.1875
-66.9162679425837,12,-253.377502441406
-66.8995215311005,12,-194.1875
-66.8827751196172,12,-121.127502441406
-66.866028708134,12,-89.2474975585938
-66.8492822966507,12,-87.4375
-66.8325358851675,12,-83.307502746582
-66.8157894736842,12,-81.9974975585938
-66.799043062201,12,-57.872501373291
-66.7822966507177,12,-64.8724975585938
-66.7655502392344,12,-75.3724975585938
-66.7488038277512,12,-66.6224975585938
-66.732057416268,12,-65.6224975585938
-66.7153110047847,12,-69.182502746582
-66.6985645933014,12,-60.502498626709
-66.6818181818182,12,-33.4324989318848
-66.6650717703349,12,-16.4400005340576
-66.6483253588517,12,-8.36999988555908
-66.6315789473684,12,-37.810001373291
-66.6148325358852,12,-54
-66.5980861244019,12,-88.1900024414062
-66.5813397129187,12,-113.559997558594
-66.5645933014354,12,-160.869995117188
-66.5478468899522,12,-252
-66.5311004784689,12,-355.127502441406
-66.5143540669856,12,-463.057495117188
-66.4976076555024,12,-654.627502441406
-66.4808612440191,12,-877.127502441406
-66.4641148325359,12,-999.9375
-66.4473684210526,12,-983.9375
-66.4306220095694,12,-978.377502441406
-66.4138755980861,12,-1118.4375
-66.3971291866029,12,-1360.8125
-66.3803827751196,12,-1596.50244140625
-66.3636363636364,12,-1751.3125
-66.3468899521531,12,-1856.5625
-66.3301435406699,12,-1916.87255859375
-66.3133971291866,12,-1928.3125
-66.2966507177033,12,-1898.00244140625
-66.2799043062201,12,-1906.0625
-66.2631578947368,12,-1864.625
-66.2464114832536,12,-1831.31494140625
-66.2296650717703,12,-1755.375
-66.2129186602871,12,-1715.375
-66.1961722488038,12,-1772.875
-66.1794258373206,12,-1745.56494140625
-66.1626794258373,12,-1637.49499511719
-66.1459330143541,12,-1453.31494140625
-66.1291866028708,12,-1306.625
-66.1124401913876,12,-1060.74499511719
-66.0956937799043,12,-810.494995117188
-66.078947368421,12,-501.744995117188
-66.0622009569378,12,-310.934997558594
-66.0454545454545,12,-297.184997558594
-66.0287081339713,12,-404.994995117188
-66.011961722488,12,-584.315002441406
-65.9952153110048,12,-686.372497558594
-65.9784688995215,12,-910.182495117188
-65.9617224880383,12,-1061.3125
-65.944976076555,12,-1176.00244140625
-65.9282296650718,12,-1256.3125
-65.9114832535885,12,-1330.3125
-65.8947368421053,12,-1415.62255859375
-65.877990430622,12,-1516.5625
-65.8612440191388,12,-1620.56494140625
-65.8444976076555,12,-1720.93505859375
-65.8277511961722,12,-1867.56494140625
-65.811004784689,12,-1966.31494140625
-65.7942583732057,12,-2167.31494140625
-65.7775119617225,12,-2325.06494140625
-65.7607655502392,12,-2462.18505859375
-65.744019138756,12,-2582.625
-65.7272727272727,12,-2690.4326171875
-65.7105263157895,12,-2802.1826171875
-65.6937799043062,12,-2935.9326171875
-65.677033492823,12,-3097.1826171875
-65.6602870813397,12,-3344.6826171875
-65.6435406698565,12,-3549.12255859375
-65.6267942583732,12,-3775.37255859375
-65.61004784689,12,-3933.5625
-65.5933014354067,12,-3973.1826171875
-65.5765550239234,12,-3957.25244140625
-65.5598086124402,12,-3932.37255859375
-65.5430622009569,12,-3812.0625
-65.5263157894737,12,-3775.3125
-65.5095693779904,12,-3724.62255859375
-65.4928229665072,12,-3872.1826171875
-65.4760765550239,12,-3986.3125
-65.4593301435407,12,-4031.87744140625
-65.4425837320574,12,-4052.3076171875
-65.4258373205742,12,-4054.9375
-65.4090909090909,12,-4044.12744140625
-65.3923444976077,12,-4032.0576171875
-65.3755980861244,12,-4023.0576171875
-65.3588516746411,12,-4018.8076171875
-65.3421052631579,12,-4013.49755859375
-65.3253588516746,12,-4008.3701171875
-65.3086124401914,12,-4004.5
-65.2918660287081,12,-3998.1201171875
-65.2751196172249,12,-3972
-65.2583732057416,12,-3895.56005859375
-65.2416267942584,12,-3734.6201171875
-65.2248803827751,12,-3473.5
-65.2081339712919,12,-3161.43994140625
-65.1913875598086,12,-2845.12744140625
-65.1746411483254,12,-2564.4375
-65.1578947368421,12,-2333.9375
-65.1411483253589,12,-2210.0576171875
-65.1244019138756,12,-2206.62744140625
-65.1076555023923,12,-2129.49755859375
-65.0909090909091,12,-2121.62744140625
-65.0741626794258,12,-2119.37744140625
-65.0574162679426,12,-2204.74755859375
-65.0406698564593,12,-2270.1875
-65.0239234449761,12,-2274.6875
-65.0071770334928,12,-2226.24755859375
-64.9904306220096,12,-2210.0576171875
-64.9736842105263,12,-2194.9375
-64.9569377990431,12,-2192.12744140625
-64.9401913875598,12,-2204.99755859375
-64.9234449760766,12,-2239.75
-64.9066985645933,12,-2284.31005859375
-64.88995215311,12,-2253.68994140625
-64.8732057416268,12,-2220.8701171875
-64.8564593301435,12,-2230.68994140625
-64.8397129186603,12,-2290.8701171875
-64.822966507177,12,-2399.1201171875
-64.8062200956938,12,-2549.75
-64.7894736842105,12,-2700.6875
-64.7727272727273,12,-2786.1875
-64.755980861244,12,-2776.6875
-64.7392344497608,12,-2643.74755859375
-64.7224880382775,12,-2415.9375
-64.7057416267943,12,-2124.74755859375
-64.688995215311,12,-2023.62744140625
-64.6722488038278,12,-2088.8076171875
-64.6555023923445,12,-2199.3701171875
-64.6387559808612,12,-2230
-64.622009569378,12,-2177.18994140625
-64.6052631578947,12,-2057.1201171875
-64.5885167464115,12,-1739.93994140625
-64.5717703349282,12,-1542.56005859375
-64.555023923445,12,-1463.81005859375
-64.5382775119617,12,-1311.25
-64.5215311004785,12,-1210.25
-64.5047846889952,12,-1115.36999511719
-64.488038277512,12,-1053.06005859375
-64.4712918660287,12,-1015.19000244141
-64.4545454545455,12,-1009.61999511719
-64.4377990430622,12,-1013.11999511719
-64.421052631579,12,-1009
-64.4043062200957,12,-1013.05999755859
-64.3875598086124,12,-1009.375
-64.3708133971292,12,-1050.875
-64.3540669856459,12,-1033.68505859375
-64.3373205741627,12,-1000.93499755859
-64.3205741626794,12,-950.565002441406
-64.3038277511962,12,-947.244995117188
-64.2870813397129,12,-640.065002441406
-64.2703349282297,12,-517.244995117188
-64.2535885167464,12,-499.434997558594
-64.2368421052632,12,-447.934997558594
-64.2200956937799,12,-458.494995117188
-64.2033492822967,12,-465.065002441406
-64.1866028708134,12,-463.244995117188
-64.1698564593301,12,-421.065002441406
-64.1531100478469,12,-563.625
-64.1363636363636,12,-468.494995117188
-64.1196172248804,12,-350.690002441406
-64.1028708133971,12,-297
-64.0861244019139,12,-273.559997558594
-64.0693779904306,12,-269.5
-64.0526315789474,12,-274.5
-64.0358851674641,12,-446.25
-64.0191387559809,12,-411.309997558594
-64.0023923444976,12,-411.5
-63.9856459330144,12,-419.699645996094
-63.9688995215311,12,-380.239654541016
-63.9521531100478,12,-399.909637451172
-63.9354066985646,12,-361.059631347656
-63.9186602870813,12,-346.839660644531
-63.9019138755981,12,-333.059631347656
-63.8851674641148,12,-318.909637451172
-63.8684210526316,12,-318.6396484375
-63.8516746411483,12,-337.554718017578
-63.8349282296651,12,-360.914703369141
-63.8181818181818,12,-375.904693603516
-63.8014354066986,12,-392.234710693359
-63.7846889952153,12,-409.57470703125
-63.7679425837321,12,-435.134704589844
-63.7511961722488,12,-478.974700927734
-63.7344497607655,12,-578.994689941406
-63.7177033492823,12,-705.935913085938
-63.700956937799,12,-798.06591796875
-63.6842105263158,12,-877.955871582031
-63.6674641148325,12,-977.31591796875
-63.6507177033493,12,-1116.96594238281
-63.633971291866,12,-1271.82592773438
-63.6172248803828,12,-1430.52587890625
-63.6004784688995,12,-1590.53588867188
-63.5837320574163,12,-1717.02795410156
-63.566985645933,12,-1803.51794433594
-63.5502392344498,12,-1857.02795410156
-63.5334928229665,12,-1870.72790527344
-63.5167464114833,12,-1861.68786621094
-63.5,12,-1856.00793457031
-67,11.9832214765101,-1242.9375
-66.9832535885167,11.9832214765101,-988.877502441406
-66.9665071770335,11.9832214765101,-684.997497558594
-66.9497607655502,11.9832214765101,-418.997497558594
-66.933014354067,11.9832214765101,-263.057495117188
-66.9162679425837,11.9832214765101,-190.127502441406
-66.8995215311005,11.9832214765101,-140.557495117188
-66.8827751196172,11.9832214765101,-90.6875
-66.866028708134,11.9832214765101,-80.057502746582
-66.8492822966507,11.9832214765101,-87.4974975585938
-66.8325358851675,11.9832214765101,-86.807502746582
-66.8157894736842,11.9832214765101,-80.557502746582
-66.799043062201,11.9832214765101,-42.1824989318848
-66.7822966507177,11.9832214765101,-40.252498626709
-66.7655502392344,11.9832214765101,-48.9324989318848
-66.7488038277512,11.9832214765101,-44.502498626709
-66.732057416268,11.9832214765101,-65.1224975585938
-66.7153110047847,11.9832214765101,-90.432502746582
-66.6985645933014,11.9832214765101,-111.122497558594
-66.6818181818182,11.9832214765101,-111.8125
-66.6650717703349,11.9832214765101,-57.6199989318848
-66.6483253588517,11.9832214765101,-1.30999994277954
-66.6315789473684,11.9832214765101,4.19000005722046
-66.6148325358852,11.9832214765101,-58.939998626709
-66.5980861244019,11.9832214765101,-83.6900024414062
-66.5813397129187,11.9832214765101,-63.939998626709
-66.5645933014354,11.9832214765101,-70.9400024414062
-66.5478468899522,11.9832214765101,-146.809997558594
-66.5311004784689,11.9832214765101,-294.557495117188
-66.5143540669856,11.9832214765101,-492.557495117188
-66.4976076555024,11.9832214765101,-611.807495117188
-66.4808612440191,11.9832214765101,-827.6875
-66.4641148325359,11.9832214765101,-920.557495117188
-66.4473684210526,11.9832214765101,-970.247497558594
-66.4306220095694,11.9832214765101,-1026.87744140625
-66.4138755980861,11.9832214765101,-1139.9375
-66.3971291866029,11.9832214765101,-1302.00244140625
-66.3803827751196,11.9832214765101,-1495.75244140625
-66.3636363636364,11.9832214765101,-1622.18249511719
-66.3468899521531,11.9832214765101,-1700.87255859375
-66.3301435406699,11.9832214765101,-1740.68249511719
-66.3133971291866,11.9832214765101,-1749.12255859375
-66.2966507177033,11.9832214765101,-1743.12255859375
-66.2799043062201,11.9832214765101,-1743.93249511719
-66.2631578947368,11.9832214765101,-1717.125
-66.2464114832536,11.9832214765101,-1678.56494140625
-66.2296650717703,11.9832214765101,-1632.31494140625
-66.2129186602871,11.9832214765101,-1599.74499511719
-66.1961722488038,11.9832214765101,-1624.625
-66.1794258373206,11.9832214765101,-1617.18505859375
-66.1626794258373,11.9832214765101,-1474.81494140625
-66.1459330143541,11.9832214765101,-1270.56494140625
-66.1291866028708,11.9832214765101,-1098.125
-66.1124401913876,11.9832214765101,-913.875
-66.0956937799043,11.9832214765101,-683.684997558594
-66.078947368421,11.9832214765101,-336.934997558594
-66.0622009569378,11.9832214765101,-117.684997558594
-66.0454545454545,11.9832214765101,-79.5650024414062
-66.0287081339713,11.9832214765101,-162.994995117188
-66.011961722488,11.9832214765101,-507.494995117188
-65.9952153110048,11.9832214765101,-714.682495117188
-65.9784688995215,11.9832214765101,-907.502502441406
-65.9617224880383,11.9832214765101,-1085.68249511719
-65.944976076555,11.9832214765101,-1151.5625
-65.9282296650718,11.9832214765101,-1199.0625
-65.9114832535885,11.9832214765101,-1250.43249511719
-65.8947368421053,11.9832214765101,-1322.62255859375
-65.877990430622,11.9832214765101,-1417.3125
-65.8612440191388,11.9832214765101,-1526.49499511719
-65.8444976076555,11.9832214765101,-1645.81494140625
-65.8277511961722,11.9832214765101,-1777.06494140625
-65.811004784689,11.9832214765101,-1940.56494140625
-65.7942583732057,11.9832214765101,-2039.625
-65.7775119617225,11.9832214765101,-2166.18505859375
-65.7607655502392,11.9832214765101,-2299.06494140625
-65.744019138756,11.9832214765101,-2428.81494140625
-65.7272727272727,11.9832214765101,-2541.1826171875
-65.7105263157895,11.9832214765101,-2665.62255859375
-65.6937799043062,11.9832214765101,-2818.6826171875
-65.677033492823,11.9832214765101,-2969.4326171875
-65.6602870813397,11.9832214765101,-3189.8125
-65.6435406698565,11.9832214765101,-3436.25244140625
-65.6267942583732,11.9832214765101,-3694.25244140625
-65.61004784689,11.9832214765101,-3876.12255859375
-65.5933014354067,11.9832214765101,-3966.0625
-65.5765550239234,11.9832214765101,-3944.75244140625
-65.5598086124402,11.9832214765101,-3973.9326171875
-65.5430622009569,11.9832214765101,-3852.3125
-65.5263157894737,11.9832214765101,-3671.00244140625
-65.5095693779904,11.9832214765101,-3631.50244140625
-65.4928229665072,11.9832214765101,-3685.25244140625
-65.4760765550239,11.9832214765101,-3833.62255859375
-65.4593301435407,11.9832214765101,-3948.49755859375
-65.4425837320574,11.9832214765101,-4005.0576171875
